Title,Subject,Audience,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"Yanet & Jose Manuel's RSPC Updates","Yanet & Jose Manuel's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jul 04, 2018 09:02 pm",Wednesday,15,15,0,0,0,0,0,10,66.67%,28,4,26.67%,4,1,0,0,11577,c0b009523f,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Sejal & Shaleen's RSPC Updates","*|COUPLE|*'s Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jul 04, 2018 09:02 pm",Wednesday,15,15,0,0,0,0,0,9,60.00%,25,3,20.00%,4,0,0,0,11577,08c14b6cdc,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Sejal & Shaleen's RSPC Updates","*|COUPLE|*'s Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jul 11, 2018 09:02 pm",Wednesday,16,16,0,0,0,0,0,8,50.00%,28,3,18.75%,3,0,0,0,11577,6c337ce91e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Ruchi & Vishal's RSPC Updates","Ruchi & Vishal's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jul 19, 2018 09:03 am",Thursday,15,15,0,0,0,0,0,12,80.00%,38,7,46.67%,16,0,0,0,11577,f4dab1ec11,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Yanet & Jose Manuel's RSPC Updates","Yanet & Jose Manuel's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jul 25, 2018 09:01 pm",Wednesday,14,14,0,0,0,0,0,8,57.14%,29,3,21.43%,3,0,0,0,11577,1006177982,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Sejal & Shaleen's RSPC Updates","*|COUPLE|*'s Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jul 25, 2018 09:03 pm",Wednesday,16,16,0,0,0,0,0,7,43.75%,12,1,6.25%,1,1,0,0,11577,51f91a8167,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Geraldine & Daniel's RSPC Updates","Geraldine & Daniel's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Aug 04, 2018 10:02 pm",Saturday,9,9,0,0,0,0,0,6,66.67%,8,2,22.22%,3,0,0,0,11577,4660439947,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Diana & Shaun's RSPC Updates","Diana & Shaun's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Sep 02, 2018 12:02 pm",Sunday,11,11,0,0,0,0,0,5,45.45%,55,2,18.18%,76,0,0,0,0,8b585826ba,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Vendor Partnership | Survey","*|VENDORNAME|*, we want to feature you on our wedding media platform. 👊","Vendor Partnership | Survey","Sep 23, 2018 01:03 am",Sunday,159,157,2,0,2,0,0,91,57.96%,269,26,16.56%,34,0,0,0,0,9d02ed69f3,0,0,0,0.00%,$0.53,$0.00,2,0,7,0.00%,00:50,0.00%,$0.00,0,0.00%,$0.00,$0.00
"[Re-sent] Vendor Partnership | Survey","*|VENDORNAME|*, we want to feature you on our wedding media platform. 👊","Vendor Partnership | Survey","Sep 24, 2018 07:46 am",Monday,81,79,2,0,2,0,0,26,32.91%,40,7,8.86%,9,0,0,0,0,526d9ad90a,0,0,0,0.00%,$0.27,$0.00,1,1,1,100.00%,00:00,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Sibyl & Jithin's RSPC Updates","Sibyl & Jithin's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Sep 28, 2018 11:02 am",Friday,5,5,0,0,0,0,0,4,80.00%,49,1,20.00%,8,0,0,0,11577,fa01283f75,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Sibyl & Jithin's RSPC Updates","Sibyl & Jithin's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Oct 05, 2018 11:03 am",Friday,5,5,0,0,0,0,0,3,60.00%,3,0,0.00%,0,0,0,0,11577,c1884d50e4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Shaili & Rahul's RSPC Updates","Shaili & Rahul's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Oct 19, 2018 11:03 am",Friday,10,9,0,1,1,0,0,6,66.67%,88,4,44.44%,83,0,0,0,11577,b95ae6a216,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
test,test,"Guest Content Notifications","Aug 06, 2023 10:50 am",Sunday,1,1,0,0,0,0,0,2,200.00%,6,0,0.00%,0,0,0,0,0,c8a87b2da4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"test (copy 01)",test,"Guest Content Notifications","Aug 06, 2023 11:12 am",Sunday,1,1,0,0,0,0,0,2,200.00%,3,0,0.00%,0,0,0,0,0,9fcfed28a1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"test (copy 02)",test,"Guest Content Notifications","Aug 06, 2023 12:58 pm",Sunday,1,1,0,0,0,0,0,2,200.00%,2,0,0.00%,0,0,0,0,0,a821d165f2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
